source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
485,19646,MEG/WJH/83C4/2016/70,Meghalaya,East Jaintia Hills,0.85 km NE of Kuliang,NH44,25.075167,92.370953,Debris,Slide,2014
485,19647,MEG/WJH/83C4/2016/97,Meghalaya,East Jaintia Hills,Kuliang,NH44,25.075567,92.363317,Debris,Slide,2014
485,19648,MEG/WJH/83C4/2016/98,Meghalaya,East Jaintia Hills,0.69 km N of Kuliang,NH44,25.079,92.361667,Rock,Slide,2015
485,19649,MEG/WJH/83C4/2016/102,Meghalaya,East Jaintia Hills,0.79 km W of Kuliang,NH44,25.079028,92.359111,Rock,Slide,2014
485,19650,MEG/WJH/83C4/2016/101,Meghalaya,East Jaintia Hills,0.8 km Wof Kuliang,NH44,25.079722,92.359361,Debris,Slide,2013
485,19651,MEG/WJH/83C4/2016/100,Meghalaya,East Jaintia Hills,1 km NNW of Kuliang,NH44,25.081381,92.359972,Debris,Slide,2014
485,19652,MEG/WJH/83C4/2016/72,Meghalaya,East Jaintia Hills,1.16 km NNE of Kuliang,NH44,25.083061,92.360322,Debris,Slide,2015
485,19653,MEG/WJH/83C4/2016/99,Meghalaya,East Jaintia Hills,1.18 km NNW of Kuliang,NH44,25.083361,92.361083,Debris,Slide,2016
485,19654,MEG/WJH/83C4/2016/114,Meghalaya,East Jaintia Hills,4.76 km SSW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.084611,92.335667,Rock,Slide,2016
485,19655,MEGH/JH/83C08/2007/D-16,Meghalaya,Jaintia Hills,Near Sonapur slide,Roads (NH - 44),25.08586,92.35869,Rock,Slide,27August 2007
485,19656,MEG/WJH/83C4/2016/103,Meghalaya,East Jaintia Hills,0.67 km SE of Sonapur mandir,NH44,25.087917,92.357906,Rock,Slide,2014
485,19657,MEG/WJH/83C4/2016/65,Meghalaya,East Jaintia Hills,0.37 km NE of Sonapur mandir,NH44,25.091361,92.356889,Rock,Slide,2016
485,19658,MEG/EJH/83CO8/2018/01,Meghalaya,East Jaintia Hills,Sonapur 4km mile stone,NH-6,25.09178,92.35469,Rock,Slide,07 May 2018
485,19659,MEG/WJH/83C4/2016/64,Meghalaya,East Jaintia Hills,0.59 km NE of Sonapur,NH44,25.092083,92.35925,Rock,Composite,2016
485,19660,MEG/WJH/83C4/2016/66,Meghalaya,East Jaintia Hills,Sonapur mandir 1,NH44,25.092178,92.353564,Rock cum Debris,Slide,2014
485,19661,MEG/WJH/83C4/2016/67,Meghalaya,East Jaintia Hills,Sonapur mandir 2,NH44,25.092981,92.353708,Debris,Slide,2015
485,19662,MEG/WJH/83C4/2016/113,Meghalaya,East Jaintia Hills,3.23 km SSW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.093078,92.348025,Rock,Slide,2016
485,19663,MEG/WJH/83C4/2016/112,Meghalaya,East Jaintia Hills,2.91 km SSW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.095131,92.350111,Rock,Slide,2014
485,19664,MEG/WJH/83C4/2016/111,Meghalaya,East Jaintia Hills,2.47 km SSW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.096592,92.351017,Debris,Slide,2016
485,19665,MEG/WJH/83C4/2016/104,Meghalaya,East Jaintia Hills,0.70 km NNW of Sonapur mandir,NH44,25.097997,92.355972,Debris,Slide,2015
485,19666,MEG/WJH/83C4/2016/140,Meghalaya,East Jaintia Hills,Sonapur Landslide,NH44,25.104417,92.365028,Rock,Slide,1989
485,19667,MEG/WJH/83C4/2016/110,Meghalaya,East Jaintia Hills,2.01 km SW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.111331,92.351128,Debris,Slide,NA
485,19668,MEG/WJH/83C4/2016/109,Meghalaya,East Jaintia Hills,2.09 km SW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.112806,92.350194,Debris,Slide,2016
485,19669,MG/EJH/2018/83CO8/01,Meghalaya,East Jaintia Hills,Sonapur 4km mile stone,NH6,25.112861,92.877556,Rock,Slide,NA
485,19670,ML/EJH/83C08/2014/02,Meghalaya,East Jaintia Hills,Sonapyrdi,NH 44,25.11303,92.37394,Debris,Slide,NA
485,19671,MEG/WJH/83C4/2016/108,Meghalaya,East Jaintia Hills,2.06 km SW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.113475,92.350506,Debris,Slide,2013
485,19672,MEG/WJH/83C4/2016/105,Meghalaya,East Jaintia Hills,Sonapyrdi,NH44,25.113586,92.370594,Debris,Slide,2014
485,19673,MEG/WJH/83C4/2016/106,Meghalaya,East Jaintia Hills,1.25 km SW of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.114997,92.358378,Debris,Slide,2014
485,19674,MEG/WJH/83C4/2016/107,Meghalaya,East Jaintia Hills,1.47 km W of Sonapyrdi,Approach road Sonapur to Chapalong (right bank of Lubha river),25.117453,92.35705,Debris,Slide,2015
485,19675,MEGH/JH/83C08/2007/D-23,Meghalaya,Jaintia Hills,Sonapur slide,NH-44,25.12186,92.388583,NA,Flow,31 July 2007
485,19676,MEG/WJH/83C4/2016/137,Meghalaya,East Jaintia Hills,4.50km SE of Lympyngngad,┬á,25.122381,92.243069,Debris,Slide,2016
485,19677,MEG/WJH/83C4/2016/115,Meghalaya,East Jaintia Hills,2.31 km NE of Sonapyrdi,NH44,25.126972,92.388083,Debris,Slide,2016
485,19678,MEG/WJH/83C4/2016/116,Meghalaya,East Jaintia Hills,2.48 km NE of Sonapyrdi,NH44,25.129169,92.388306,Rock,Slide,2016
485,19679,MEG/WJH/83C4/2016/136,Meghalaya,East Jaintia Hills,2.23 km SE of Lympyngngad,┬á,25.133289,92.225272,Debris,Slide,2015
485,19680,MEG/WJH/83C4/2016/135,Meghalaya,East Jaintia Hills,2.12 km SE of Lympyngngad,NA,25.133911,92.222392,Debris,Slide,2015
486,19681,MEGH/JH/83C08/2007/D-22,Meghalaya,Jaintia Hills,Tongseng slide,NH - 44,25.134194,92.383528,Rock cum Debris,Slide,31 July 2007
486,19682,MEG/WJH/83C4/2016/141,Meghalaya,East Jaintia Hills,Tongseng,NH44,25.134293,92.38155,Debris,Slide,2010
486,19683,MEG/WJH/83C4/2016/68,Meghalaya,East Jaintia Hills,0.96 km NNE of Tongseng,NH44,25.134972,92.380278,Rock,Slide,2014
486,19684,MEG/WJH/83C4/2016/134,Meghalaya,East Jaintia Hills,1.92 km SE of Lympyngngad,NA,25.136047,92.222064,Debris,Slide,2016
486,19685,MEG/WJH/83C4/2016/44,Meghalaya,West Jaintia Hills,0.50 km S of Hawai Bhoi,Muktapur ΓÇôSankhat┬á road,25.143375,92.141861,Debris,Slide,2010
486,19686,MEG/WJH/83C4/2016/133,Meghalaya,East Jaintia Hills,0.97 km SE of Lympyngngad,NA,25.143969,92.217497,Debris,Slide,2016
486,19687,MEG/WJH/83C4/2016/117,Meghalaya,East Jaintia Hills,0.53 km N of Tongseng,NH44,25.14775,92.375528,Debris,Slide,2016
486,19688,MEG/WJH/83C4/2016/36,Meghalaya,West Jaintia Hills,2.71 km SW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.147942,92.181586,Debris,Slide,2016
486,19689,MEG/WJH/83C4/2016/34,Meghalaya,West Jaintia Hills,3.05 km SW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.148019,92.178114,Debris,Slide,2016
486,19690,MEG/WJH/83C4/2016/35,Meghalaya,West Jaintia Hills,2.80 km SW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.148083,92.180639,Debris,Slide,2016
486,19691,MEG/WJH/83C4/2016/33,Meghalaya,West Jaintia Hills,3.15 km E of Lympyngad,Muktapur ΓÇô Lympyngad road,25.148158,92.177172,Debris,Slide,2016
486,19692,MEG/WJH/83C4/2016/32,Meghalaya,West Jaintia Hills,3.25 km SW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.148303,92.176236,Debris,Slide,2016
486,19693,MEG/WJH/83C4/2016/31,Meghalaya,West Jaintia Hills,3.36 km SW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.148747,92.175119,Debris,Slide,2016
486,19694,MEG/WJH/83C4/2016/118,Meghalaya,East Jaintia Hills,1.09 km NNW of Tongseng,NH44,25.149603,92.367964,Debris,Slide,NA
486,19695,MEG/WJH/83C4/2016/132,Meghalaya,East Jaintia Hills,0.54 km NE of Lympyngngad,NA,25.14965,92.214519,Debris,Slide,2016
486,19696,MEG/WJH/83C4/2016/131,Meghalaya,West Jaintia Hills,0.47 km NE of Lympyngngad,NA,25.150286,92.213508,Debris,Slide,2016
486,19697,MEG/WJH/83C4/2016/37,Meghalaya,West Jaintia Hills,1.75 km NW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.151189,92.191308,Debris,Slide,NA
486,19698,MEG/WJH/83C4/2016/38,Meghalaya,West Jaintia Hills,1.37 km NW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.152367,92.195708,Debris,Slide,2016
486,19699,MEG/WJH/83C4/2016/39,Meghalaya,West Jaintia Hills,0.58km NNW of Lympyngad,Muktapur ΓÇô Lympyngad road,25.153272,92.206058,Debris,Slide,2016
486,19700,MEG/WJH/83C4/2016/41,Meghalaya,West Jaintia Hills,Hawali Tilla,Muktapur ΓÇôSankhat road,25.156419,92.141353,Debris,Slide,2016
486,19701,MEG/WJH/83C4/2016/42,Meghalaya,West Jaintia Hills,0.60 km NW of Lympyngad,Muktapur ΓÇô Lympyngad┬á road,25.156542,92.198469,Debris,Slide,2016
486,19702,MEG/WJH/83C4/2016/43,Meghalaya,West Jaintia Hills,1.40 km NW of Lympyngad,Muktapur ΓÇô Lympyngad┬á road,25.156889,92.198194,Debris,Slide,NA
486,19703,MEG/WJH/83C4/2016/130,Meghalaya,East Jaintia Hills,2.27 km SW of Borghat,NA,25.157592,92.239928,Debris,Slide,2016
486,19704,MG/EKH/78O12/2017/72,Meghalaya,East Khasi Hills,NA,<Null>,25.158643,91.525222,Rock,Slide,NA
486,19705,MEG/WJH/83C4/2016/40,Meghalaya,West Jaintia Hills,Kharkhana┬á,Muktapur ΓÇô Lympyngad road,25.159367,92.202078,Debris,Slide,2016
486,19706,MG/EKH/78O12/2017/63,Meghalaya,East Khasi Hills,NA,<Null>,25.159469,91.528337,Rock,Slide,NA
486,19707,MG/EKH/78O12/2017/76,Meghalaya,East Khasi Hills,NA,<Null>,25.160222,91.527843,Rock,Slide,NA
486,19708,MG/EKH/78O08/2017/4,Meghalaya,East Khasi Hills,NA,<Null>,25.160398,91.489558,Rock,Slide,NA
486,19709,MEG/EJH/83C08/2022/01,Meghalaya,East Jaintia Hills,NA,NA,25.16400556,92.38702778,Debris,Slide,2022
486,19710,MEG/WJH/83C4/2016/119,Meghalaya,East Jaintia Hills,Brishyrnot Slide,Approach to Brishyrnot,25.164133,92.417747,Debris,Slide,2016
486,19711,MEG/WJH/83C4/2016/120,Meghalaya,East Jaintia Hills,1.09 km SE of Narphu,NH44,25.165028,92.388056,Rock,Slide,2016
486,19712,MEG/WJH/83C4/2016/121,Meghalaya,East Jaintia Hills,0.63 km SE of Narphu,NH44,25.165222,92.388389,Debris,Slide,2016
486,19713,MG/EKH/78O12/2017/77,Meghalaya,East Khasi Hills,NA,Along Mawlong Shella road,25.169159,91.690014,Rock,Slide,NA
486,19714,MG/EKH/78O12/2017/34,Meghalaya,East Khasi Hills,NA,Along ShelalSohra road,25.180032,91.65815,Rock,Slide,NA
486,19715,MG/EKH/78O12/2017/42,Meghalaya,East Khasi Hills,NA,Along Hat MawdonShella bypass road,25.180536,91.576839,Rock,Slide,NA
486,19716,MG/EKH/78O12/2017/28,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.18092,91.570335,Rock,Slide,NA
486,19717,MG/EKH/78O12/2017/12,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.181759,91.573658,Rock,Slide,NA
487,19718,MG/EKH/78O12/2017/33,Meghalaya,East Khasi Hills,Shella slide,250 m N of Shella village(Along shella river),25.181969,91.637545,Debris,Slide,2017
487,19719,MG/EKH/78O12/2017/23,Meghalaya,East Khasi Hills,NA,Along Hat MawdonShella bypass road,25.182254,91.618979,Rock,Slide,NA
487,19720,MEG/WJH/83C4/2016/26,Meghalaya,East Khasi Hills,0.5 km NE of Dawki,Dawki┬á Muktapur road (Near petrol pump),25.184381,92.029531,Debris,Slide,2005
487,19721,MG/EKH/78O08/2017/6,Meghalaya,East Khasi Hills,NA,1.5 Km SE of Balat Sonatola road,25.18676,91.396515,Debris,Slide,NA
487,19722,MG/EKH/78O16/2017/12,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.188327,91.761486,Rock,Slide,NA
487,19723,MEG/WJH/83C4/2016/25,Meghalaya,West Jaintia Hills,4.5 km NE of Dawki,Dawki Muktapur road,25.188444,92.074139,Debris,Slide,NA
487,19724,MEG/WJH/83C4/2016/30,Meghalaya,West Jaintia Hills,5.5 km NE of┬á Dawki┬á,Dawki Muktapur road,25.189106,92.079564,Debris,Slide,2010
487,19725,MG/EKH/78O08/2017/1,Meghalaya,East Khasi Hills,NA,NA,25.18955,91.453997,Rock,Slide,NA
487,19726,MEG/WJH/83C4/2016/24,Meghalaya,East Khasi Hills,2 km W of Dawki,NH40,25.191111,92.003389,Debris,Slide,2016
487,19727,MG/SWK/78O04/2017/7,Meghalaya,South West Khasi Hills,NA,SH4,25.191366,91.040468,Rock,Slide,NA
487,19728,MEG/WJH/83C4/2016/28,Meghalaya,West Jaintia Hills,Amlari,Amlari Syndai road,25.191611,92.155361,Debris,Slide,2016
487,19729,MEG/WJH/83C4/2016/122,Meghalaya,East Jaintia Hills,1.5 km W of Narphu,NH44,25.192422,92.37705,Debris,Slide,2016
487,19730,MG/EKH/78O12/2017/53,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.196781,91.574727,Rock,Slide,NA
487,19731,MEG/WJH/83C4/2016/17,Meghalaya,West Jaintia Hills,1.7 km S of Satpator,Laremshiap road,25.197283,92.1991,Debris,Slide,2016
487,19732,MEG/WJH/83C4/2016/18,Meghalaya,West Jaintia Hills,0.5 km SW of Power station,Myntdu Leshka power station road,25.197283,92.2225,Debris,Slide,2016
487,19733,MG/SWK/78O04/2017/4,Meghalaya,South West Khasi Hills,NA,SH4,25.197881,91.139559,Rock,Slide,NA
487,19734,MG/EKH/78O16/2017/9,Meghalaya,East Khasi Hills,NA,Along the NongshkenLakading road,25.199311,91.858857,Debris,Slide,NA
487,19735,MEG/WJH/83C4/2016/16,Meghalaya,West Jaintia Hills,1.15 km S of Satpator,Laremshiap road,25.200333,92.200472,Debris,Slide,2016
487,19736,MG/EKH/78O12/2017/80,Meghalaya,East Khasi Hills,NA,Nag Nag village,25.200934,91.63449,Debris,Slide,NA
487,19737,MEGH/WKH/78O04/2008/D-26,Meghalaya,West Khasi Hills,Rajai slide,NA,25.201,91.234,Debris,Fall,12 August 2008
487,19738,MG/EKH/78O12/2017/8,Meghalaya,East Khasi Hills,NA,Approach road to Mustoh,25.20111,91.640451,Rock,Slide,NA
487,19739,MEGH/WKH/78O04/2008/D-27,Meghalaya,West Khasi Hills,Shipur slide,NA,25.20283,91.20908,Debris,Fall,10 August 2008
487,19740,MEG/WJH/83C4/2016/15,Meghalaya,West Jaintia Hills,1.5 km S of Satpator,Laremshiap road,25.202886,92.201147,Debris,Slide,2016
487,19741,MG/EKH/78O12/2017/4,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.204882,91.742535,Debris,Slide,NA
