Evaluation_Strategy,Model_Type,Folds_Evaluated,ROC_AUC_Mean,ROC_AUC_Std,ROC_AUC_Min,ROC_AUC_Max,PR_AUC_Mean,PR_AUC_Std,F1_Mean,F1_Std,Brier_Mean,Brier_Std
Stratified_Block_Month_5Fold,Baseline_LogisticRegression,5,0.8505,0.0375,0.7856,0.8908,0.7294,0.0376,0.6528,0.0502,0.1157,0.0114
Stratified_Block_Month_5Fold,Primary_ModelB_GradientBoosted,5,0.8908,0.0265,0.8639,0.9411,0.809,0.0378,0.7533,0.0277,0.0925,0.008
Spatial_Block_Out,Baseline_LogisticRegression,5,0.8459,0.0509,0.7885,0.9194,0.6937,0.0583,0.6164,0.0612,0.1247,0.0138
Spatial_Block_Out,Primary_ModelB_GradientBoosted,5,0.818,0.0643,0.7582,0.9065,0.6664,0.0634,0.563,0.0269,0.1347,0.0116
Temporal_Year_Out,Baseline_LogisticRegression,17,0.8121,0.1834,0.2308,0.9756,0.5831,0.265,0.3768,0.3272,0.1169,0.0666
Temporal_Year_Out,Primary_ModelB_GradientBoosted,17,0.7156,0.2267,0.0256,1.0,0.5582,0.3138,0.4047,0.3238,0.129,0.0847
