Evaluation_Strategy,Model_Type,Fold_ID,Train_N,Train_Pos,Train_Bg,Val_N,Val_Pos,Val_Bg,ROC_AUC,PR_AUC,Precision_demo,Recall_demo,F1_demo,Brier_Score,TP,FP,TN,FN
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2008,707,183,524,37,3,34,0.6176,0.4143,0.5,0.3333,0.4,0.0716,1,1,33,2
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2009,704,179,525,40,7,33,0.7662,0.4323,0.0,0.0,0.0,0.1408,0,2,31,7
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2010,698,175,523,46,11,35,0.9117,0.7933,0.625,0.4545,0.5263,0.1122,5,3,32,6
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2011,713,185,528,31,1,30,0.7667,0.125,0.0,0.0,0.0,0.0341,0,0,30,1
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2012,702,174,528,42,12,30,0.7361,0.5743,0.2,0.0833,0.1176,0.2195,1,4,26,11
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2013,704,185,519,40,1,39,0.0256,0.0256,0.0,0.0,0.0,0.1266,0,5,34,1
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2014,705,181,524,39,5,34,0.6647,0.6544,0.4286,0.6,0.5,0.1531,3,4,30,2
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2017,707,185,522,37,1,36,0.4444,0.0476,0.0,0.0,0.0,0.0581,0,2,34,1
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2018,709,185,524,35,1,34,0.8529,0.1667,0.0,0.0,0.0,0.045,0,1,33,1
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2019,696,179,517,48,7,41,0.9965,0.9821,1.0,0.7143,0.8333,0.0362,5,0,41,2
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2020,705,175,530,39,11,28,0.8669,0.7533,0.9,0.8182,0.8571,0.1138,9,1,27,2
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2022,699,172,527,45,14,31,0.659,0.6534,1.0,0.3571,0.5263,0.1946,5,0,31,9
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2023,701,183,518,43,3,40,0.5167,0.3857,1.0,0.3333,0.5,0.0568,1,0,40,2
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2024,669,141,528,75,45,30,0.843,0.9051,1.0,0.2444,0.3929,0.3324,11,0,30,34
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2025,677,149,528,67,37,30,0.7991,0.8559,0.8333,0.5405,0.6557,0.2263,20,4,26,17
Temporal_Year_Out,Primary_ModelB_GradientBoosted,2026,723,185,538,21,1,20,1.0,1.0,1.0,1.0,1.0,0.0382,1,0,20,0
