date,status,file,size_bytes,error
2007-05-07,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.07.npy,7900,
2007-05-08,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.08.npy,7900,
2007-05-09,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.09.npy,7900,
2007-05-10,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.10.npy,7900,
2007-05-11,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.11.npy,7900,
2007-05-12,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.12.npy,7900,
2007-05-13,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.13.npy,7900,
2007-05-14,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.14.npy,7900,
2007-05-15,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.15.npy,7900,
2007-05-16,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.16.npy,7900,
2007-05-17,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.05.17.npy,7900,
2007-05-18,ALREADY_PRESENT,chirps_meg_2007.05.18.npy,7900,
2007-05-19,ALREADY_PRESENT,chirps_meg_2007.05.19.npy,7900,
2007-05-20,ALREADY_PRESENT,chirps_meg_2007.05.20.npy,7900,
2007-05-21,ALREADY_PRESENT,chirps_meg_2007.05.21.npy,7900,
2007-05-22,ALREADY_PRESENT,chirps_meg_2007.05.22.npy,7900,
2007-05-23,ALREADY_PRESENT,chirps_meg_2007.05.23.npy,7900,
2007-05-24,ALREADY_PRESENT,chirps_meg_2007.05.24.npy,7900,
2007-05-25,ALREADY_PRESENT,chirps_meg_2007.05.25.npy,7900,
2007-05-26,ALREADY_PRESENT,chirps_meg_2007.05.26.npy,7900,
2007-05-27,ALREADY_PRESENT,chirps_meg_2007.05.27.npy,7900,
2007-05-28,ALREADY_PRESENT,chirps_meg_2007.05.28.npy,7900,
2007-05-29,ALREADY_PRESENT,chirps_meg_2007.05.29.npy,7900,
2007-05-30,ALREADY_PRESENT,chirps_meg_2007.05.30.npy,7900,
2007-05-31,ALREADY_PRESENT,chirps_meg_2007.05.31.npy,7900,
2007-06-01,ALREADY_PRESENT,chirps_meg_2007.06.01.npy,7900,
2007-06-02,ALREADY_PRESENT,chirps_meg_2007.06.02.npy,7900,
2007-06-03,ALREADY_PRESENT,chirps_meg_2007.06.03.npy,7900,
2007-06-04,ALREADY_PRESENT,chirps_meg_2007.06.04.npy,7900,
2007-06-05,ALREADY_PRESENT,chirps_meg_2007.06.05.npy,7900,
2007-06-06,ALREADY_PRESENT,chirps_meg_2007.06.06.npy,7900,
2007-06-07,ALREADY_PRESENT,chirps_meg_2007.06.07.npy,7900,
2007-06-08,ALREADY_PRESENT,chirps_meg_2007.06.08.npy,7900,
2007-06-09,ALREADY_PRESENT,chirps_meg_2007.06.09.npy,7900,
2007-06-10,ALREADY_PRESENT,chirps_meg_2007.06.10.npy,7900,
2007-06-11,ALREADY_PRESENT,chirps_meg_2007.06.11.npy,7900,
2007-06-12,ALREADY_PRESENT,chirps_meg_2007.06.12.npy,7900,
2007-06-13,ALREADY_PRESENT,chirps_meg_2007.06.13.npy,7900,
2007-06-14,ALREADY_PRESENT,chirps_meg_2007.06.14.npy,7900,
2007-06-15,ALREADY_PRESENT,chirps_meg_2007.06.15.npy,7900,
2007-06-16,ALREADY_PRESENT,chirps_meg_2007.06.16.npy,7900,
2007-06-17,DOWNLOADED_AND_VERIFIED,chirps_meg_2007.06.17.npy,7900,
2007-06-18,ALREADY_PRESENT,chirps_meg_2007.06.18.npy,7900,
2007-06-19,ALREADY_PRESENT,chirps_meg_2007.06.19.npy,7900,
2007-06-20,ALREADY_PRESENT,chirps_meg_2007.06.20.npy,7900,
2007-06-21,ALREADY_PRESENT,chirps_meg_2007.06.21.npy,7900,
2007-06-22,ALREADY_PRESENT,chirps_meg_2007.06.22.npy,7900,
2007-06-23,ALREADY_PRESENT,chirps_meg_2007.06.23.npy,7900,
2007-06-24,ALREADY_PRESENT,chirps_meg_2007.06.24.npy,7900,
2007-06-25,ALREADY_PRESENT,chirps_meg_2007.06.25.npy,7900,
2007-06-26,ALREADY_PRESENT,chirps_meg_2007.06.26.npy,7900,
2007-06-27,ALREADY_PRESENT,chirps_meg_2007.06.27.npy,7900,
2007-06-28,ALREADY_PRESENT,chirps_meg_2007.06.28.npy,7900,
2007-06-29,ALREADY_PRESENT,chirps_meg_2007.06.29.npy,7900,
2007-06-30,ALREADY_PRESENT,chirps_meg_2007.06.30.npy,7900,
2007-07-01,ALREADY_PRESENT,chirps_meg_2007.07.01.npy,7900,
2007-07-02,ALREADY_PRESENT,chirps_meg_2007.07.02.npy,7900,
2007-07-03,ALREADY_PRESENT,chirps_meg_2007.07.03.npy,7900,
2007-07-04,ALREADY_PRESENT,chirps_meg_2007.07.04.npy,7900,
2007-07-05,ALREADY_PRESENT,chirps_meg_2007.07.05.npy,7900,
2007-07-06,ALREADY_PRESENT,chirps_meg_2007.07.06.npy,7900,
2007-07-07,ALREADY_PRESENT,chirps_meg_2007.07.07.npy,7900,
