Threshold,Section30_Selected,Val_TP,Val_FP,Val_TN,Val_FN,Val_Recall,Val_Precision,Val_Specificity,Val_F1,Val_Balanced_Acc,Holdout_TP,Holdout_FP,Holdout_TN,Holdout_FN,Holdout_Recall,Holdout_Precision,Holdout_Specificity,Holdout_F1,Holdout_Balanced_Acc
0.1,NO,35,46,65,2,0.9459,0.4321,0.5856,0.5932,0.7658,37,56,79,8,0.8222,0.3978,0.5852,0.5362,0.7037
0.15,NO,30,32,79,7,0.8108,0.4839,0.7117,0.6061,0.7613,36,43,92,9,0.8,0.4557,0.6815,0.5806,0.7407
0.2,YES (T_opt),30,23,88,7,0.8108,0.566,0.7928,0.6667,0.8018,30,31,104,15,0.6667,0.4918,0.7704,0.566,0.7185
0.25,NO,23,19,92,14,0.6216,0.5476,0.8288,0.5823,0.7252,28,26,109,17,0.6222,0.5185,0.8074,0.5657,0.7148
0.3,NO,21,17,94,16,0.5676,0.5526,0.8468,0.56,0.7072,24,23,112,21,0.5333,0.5106,0.8296,0.5217,0.6815
0.4,NO,21,10,101,16,0.5676,0.6774,0.9099,0.6176,0.7387,24,15,120,21,0.5333,0.6154,0.8889,0.5714,0.7111
0.5,NO,11,5,106,26,0.2973,0.6875,0.955,0.4151,0.6261,23,8,127,22,0.5111,0.7419,0.9407,0.6053,0.7259
