original_district_value,record_count
East Khasi Hills,405
West Khasi Hills,210
East Jaintia Hills,120
West Jaintia Hills,86
Ri-Bhoi,86
South West Khasi Hills,33
West Garo Hills,31
Eastern-West Khasi Hill,27
Jaintia Hills,26
South Garo hills,9
East Garo hills,7
West Jaintia hills,6
South Garo Hills,5
South West Garo Hills,1
