source_page,sl_no,slide_no,latitude,longitude,slide_name,duplicate_reason
343,14377,28,9.937847222,76.97359167,Periyar Valley Chappath II,Slide_No 28 appears 4 times in inventory
343,14378,29,9.939980556,76.97325556,Keerithode,Slide_No 29 appears 4 times in inventory
343,14379,30,9.9378,76.96460556,Keerithode Junction,Slide_No 30 appears 4 times in inventory
343,14380,31,9.971438889,76.89408056,Thattekallu I,Slide_No 31 appears 3 times in inventory
343,14381,32,9.970847222,76.89462222,Thattekallu II,Slide_No 32 appears 3 times in inventory
343,14382,33,9.969144444,76.8991,Thattekallu III,Slide_No 33 appears 3 times in inventory
343,14383,34,9.914976,76.963041,Chelachuvadu,Slide_No 34 appears 3 times in inventory
343,14384,35,9.915236,76.963416,Chelachuvadu II,Slide_No 35 appears 3 times in inventory
343,14385,36,9.913324,76.964216,Chelachuvadu III,Slide_No 36 appears 3 times in inventory
343,14386,37,9.911005,76.969627,Chelachuvadu IV,Slide_No 37 appears 3 times in inventory
343,14387,38,9.911038,76.970174,Chelachuvadu V,Slide_No 38 appears 3 times in inventory
343,14388,39,9.909008,76.974146,Periyar Valley Bridge II,Slide_No 39 appears 3 times in inventory
343,14389,40,9.908645,76.974326,Periyar Valley Bridge III,Slide_No 40 appears 3 times in inventory
343,14390,41,9.908482,76.965126,Churuli,Slide_No 41 appears 3 times in inventory
343,14391,42,9.909522,76.963546,Churuli II,Slide_No 42 appears 3 times in inventory
343,14392,43,9.912153,76.958793,Churuli III,Slide_No 43 appears 3 times in inventory
343,14393,44,9.906263,76.967401,Karimban Kaanam,Slide_No 44 appears 3 times in inventory
343,14394,45,9.90637,76.96773,Karimban Kaanam II,Slide_No 45 appears 3 times in inventory
344,14395,46,9.90698,76.965454,Karimban Kaanam III,Slide_No 46 appears 3 times in inventory
344,14396,47,9.913159,76.958298,Churuli IV,Slide_No 47 appears 3 times in inventory
344,14397,48,9.920033,76.95461,Churuli V,Slide_No 48 appears 3 times in inventory
344,14398,49,9.920187,76.951511,Churuli VI,Slide_No 49 appears 3 times in inventory
344,14399,50,9.923021,76.950735,Churuli VII,Slide_No 50 appears 3 times in inventory
344,14400,51,9.921815,76.951284,Churuli VIII,Slide_No 51 appears 3 times in inventory
344,14401,52,9.932914,76.9438,Churulipathal,Slide_No 52 appears 3 times in inventory
344,14402,53,9.940399,76.93293,Churulipathal I,Slide_No 53 appears 3 times in inventory
344,14403,54,9.950146,76.919921,Mazhuvady,Slide_No 54 appears 3 times in inventory
344,14404,55,9.949778,76.917913,Mazhuvady II,Slide_No 55 appears 3 times in inventory
344,14405,56,9.949889,76.91754,Mazhuvady III,Slide_No 56 appears 3 times in inventory
344,14406,57,9.955556,76.936375,Punnayar,Slide_No 57 appears 3 times in inventory
344,14407,58,9.956065,76.936058,Punnayar II,Slide_No 58 appears 3 times in inventory
344,14408,59,9.954856,76.938605,Punnayar III,Slide_No 59 appears 3 times in inventory
344,14409,60,9.953476,76.942736,Punnayar IV,Slide_No 60 appears 3 times in inventory
344,14410,61,9.953572,76.941889,Punnayar V,Slide_No 61 appears 3 times in inventory
344,14411,62,9.931077,76.937972,Alpara Temple Road,Slide_No 62 appears 3 times in inventory
344,14412,63,9.928786,76.938506,Alpara,Slide_No 63 appears 3 times in inventory
344,14413,64,9.928277,76.939113,Alpara II,Slide_No 64 appears 3 times in inventory
344,14414,65,9.925144,76.941602,Alpara III,Slide_No 65 appears 3 times in inventory
344,14415,66,9.920498,76.949252,Alpara IV,Slide_No 66 appears 3 times in inventory
344,14416,67,9.91551,76.948985,Alpara V,Slide_No 67 appears 3 times in inventory
344,14417,68,9.956893,76.927282,Vakachuvadu,Slide_No 68 appears 3 times in inventory
344,14418,69,9.960342,76.91057,Mazhuvadi,Slide_No 69 appears 3 times in inventory
344,14419,70,9.959758,76.908442,Vandanmedukavala,Slide_No 70 appears 3 times in inventory
344,14420,71,9.955435,76.908846,Vandanmedukavala,Slide_No 71 appears 3 times in inventory
344,14421,72,9.973051,76.856386,Blathykavala,Slide_No 72 appears 3 times in inventory
344,14422,73,9.973333,76.856105,Blathykavala,Slide_No 73 appears 3 times in inventory
344,14423,74,9.970695,76.858999,Blathykavala,Slide_No 74 appears 3 times in inventory
344,14424,75,9.96618,76.906191,Pazhayarikandam,Slide_No 75 appears 3 times in inventory
344,14425,76,9.942424,76.942242,Edakkad,Slide_No 76 appears 3 times in inventory
344,14426,77,9.933787,76.950753,Edakkad II,Slide_No 77 appears 3 times in inventory
345,14427,78,9.930246,76.953367,Edakkad III,Slide_No 78 appears 3 times in inventory
345,14428,79,9.92677,76.954112,Edakkad IV,Slide_No 79 appears 3 times in inventory
345,14429,80,9.927042,76.953977,Edakkad V,Slide_No 80 appears 3 times in inventory
345,14430,81,9.925901,76.954399,Edakkad VI,Slide_No 81 appears 3 times in inventory
345,14431,82,9.91931,76.956101,Churuli IX,Slide_No 82 appears 3 times in inventory
345,14432,83,9.919152,76.955371,Churuli Junction,Slide_No 83 appears 3 times in inventory
345,14433,84,9.947447222,76.94920833,Thallakkanam,Slide_No 84 appears 3 times in inventory
345,14434,85,9.937797222,76.96202222,Keerithode,Slide_No 85 appears 2 times in inventory
345,14435,86,9.973705418,76.8589795,Balannaadu,Slide_No 86 appears 2 times in inventory
345,14436,87,9.923592778,76.98260278,Rajapuram,Slide_No 87 appears 2 times in inventory
359,14908,1,9.848525,77.161483,Parivathanamedu I,Slide_No 1 appears 8 times in inventory
359,14909,2,9.842312,77.160549,Parivathanamedu I I,Slide_No 2 appears 5 times in inventory
359,14910,3,9.842529,77.160514,Parivathanamedu I II,Slide_No 3 appears 5 times in inventory
359,14911,4,9.847146,77.159369,Parivathanamedu IV,Slide_No 4 appears 4 times in inventory
359,14912,5,9.841301,77.1688,5 Acre Kanam,Slide_No 5 appears 4 times in inventory
359,14913,6,9.838144,77.18461,Mathaikada I,Slide_No 6 appears 4 times in inventory
359,14914,7,9.83882,77.153524,Mathaikada II,Slide_No 7 appears 4 times in inventory
359,14915,8,9.83811,77.18514,Mathaikkada III,Slide_No 8 appears 4 times in inventory
