record_type,record_id,latitude,longitude,spatial_block_id,spatial_block_name,sample_ratio_tier,min_dist_to_landslide_m,nearest_positive_sl_no,colocation_duplicate_flag
POSITIVE,19636,25.047906,92.404822,5,Jaintia Hills Block,NA,0.0,19636,NO
POSITIVE,19637,25.049744,92.400678,5,Jaintia Hills Block,NA,0.0,19637,NO
POSITIVE,19638,25.052236,92.399047,5,Jaintia Hills Block,NA,0.0,19638,NO
POSITIVE,19639,25.056022,92.394119,5,Jaintia Hills Block,NA,0.0,19639,NO
POSITIVE,19640,25.062025,92.386975,5,Jaintia Hills Block,NA,0.0,19640,NO
POSITIVE,19641,25.068158,92.380058,5,Jaintia Hills Block,NA,0.0,19641,NO
POSITIVE,19642,25.073,92.368778,5,Jaintia Hills Block,NA,0.0,19642,NO
POSITIVE,19643,25.073217,92.372161,5,Jaintia Hills Block,NA,0.0,19643,NO
POSITIVE,19644,25.073731,92.370786,5,Jaintia Hills Block,NA,0.0,19644,NO
POSITIVE,19645,25.074439,92.371186,5,Jaintia Hills Block,NA,0.0,19645,NO
POSITIVE,19646,25.075167,92.370953,5,Jaintia Hills Block,NA,0.0,19646,NO
POSITIVE,19647,25.075567,92.363317,5,Jaintia Hills Block,NA,0.0,19647,NO
POSITIVE,19648,25.079,92.361667,5,Jaintia Hills Block,NA,0.0,19648,NO
POSITIVE,19649,25.079028,92.359111,5,Jaintia Hills Block,NA,0.0,19649,NO
POSITIVE,19650,25.079722,92.359361,5,Jaintia Hills Block,NA,0.0,19650,NO
POSITIVE,19651,25.081381,92.359972,5,Jaintia Hills Block,NA,0.0,19651,NO
POSITIVE,19652,25.083061,92.360322,5,Jaintia Hills Block,NA,0.0,19652,NO
POSITIVE,19653,25.083361,92.361083,5,Jaintia Hills Block,NA,0.0,19653,NO
POSITIVE,19654,25.084611,92.335667,5,Jaintia Hills Block,NA,0.0,19654,NO
POSITIVE,19655,25.08586,92.35869,5,Jaintia Hills Block,NA,0.0,19655,NO
POSITIVE,19656,25.087917,92.357906,5,Jaintia Hills Block,NA,0.0,19656,NO
POSITIVE,19657,25.091361,92.356889,5,Jaintia Hills Block,NA,0.0,19657,NO
POSITIVE,19658,25.09178,92.35469,5,Jaintia Hills Block,NA,0.0,19658,NO
POSITIVE,19659,25.092083,92.35925,5,Jaintia Hills Block,NA,0.0,19659,NO
POSITIVE,19660,25.092178,92.353564,5,Jaintia Hills Block,NA,0.0,19660,NO
POSITIVE,19661,25.092981,92.353708,5,Jaintia Hills Block,NA,0.0,19661,NO
POSITIVE,19662,25.093078,92.348025,5,Jaintia Hills Block,NA,0.0,19662,NO
POSITIVE,19663,25.095131,92.350111,5,Jaintia Hills Block,NA,0.0,19663,NO
POSITIVE,19664,25.096592,92.351017,5,Jaintia Hills Block,NA,0.0,19664,NO
POSITIVE,19665,25.097997,92.355972,5,Jaintia Hills Block,NA,0.0,19665,NO
POSITIVE,19666,25.104417,92.365028,5,Jaintia Hills Block,NA,0.0,19666,NO
POSITIVE,19667,25.111331,92.351128,5,Jaintia Hills Block,NA,0.0,19667,NO
POSITIVE,19668,25.112806,92.350194,5,Jaintia Hills Block,NA,0.0,19668,NO
POSITIVE,19669,25.112861,92.877556,5,Jaintia Hills Block,NA,0.0,19669,NO
POSITIVE,19670,25.11303,92.37394,5,Jaintia Hills Block,NA,0.0,19670,NO
POSITIVE,19671,25.113475,92.350506,5,Jaintia Hills Block,NA,0.0,19671,NO
POSITIVE,19672,25.113586,92.370594,5,Jaintia Hills Block,NA,0.0,19672,NO
POSITIVE,19673,25.114997,92.358378,5,Jaintia Hills Block,NA,0.0,19673,NO
POSITIVE,19674,25.117453,92.35705,5,Jaintia Hills Block,NA,0.0,19674,NO
POSITIVE,19675,25.12186,92.388583,5,Jaintia Hills Block,NA,0.0,19675,NO
POSITIVE,19676,25.122381,92.243069,5,Jaintia Hills Block,NA,0.0,19676,NO
POSITIVE,19677,25.126972,92.388083,5,Jaintia Hills Block,NA,0.0,19677,NO
POSITIVE,19678,25.129169,92.388306,5,Jaintia Hills Block,NA,0.0,19678,NO
POSITIVE,19679,25.133289,92.225272,5,Jaintia Hills Block,NA,0.0,19679,NO
POSITIVE,19680,25.133911,92.222392,5,Jaintia Hills Block,NA,0.0,19680,NO
POSITIVE,19681,25.134194,92.383528,5,Jaintia Hills Block,NA,0.0,19681,NO
POSITIVE,19682,25.134293,92.38155,5,Jaintia Hills Block,NA,0.0,19682,NO
POSITIVE,19683,25.134972,92.380278,5,Jaintia Hills Block,NA,0.0,19683,NO
POSITIVE,19684,25.136047,92.222064,5,Jaintia Hills Block,NA,0.0,19684,NO
POSITIVE,19685,25.143375,92.141861,5,Jaintia Hills Block,NA,0.0,19685,NO
POSITIVE,19686,25.143969,92.217497,5,Jaintia Hills Block,NA,0.0,19686,NO
POSITIVE,19687,25.14775,92.375528,5,Jaintia Hills Block,NA,0.0,19687,NO
POSITIVE,19688,25.147942,92.181586,5,Jaintia Hills Block,NA,0.0,19688,NO
POSITIVE,19689,25.148019,92.178114,5,Jaintia Hills Block,NA,0.0,19689,NO
POSITIVE,19690,25.148083,92.180639,5,Jaintia Hills Block,NA,0.0,19690,NO
POSITIVE,19691,25.148158,92.177172,5,Jaintia Hills Block,NA,0.0,19691,NO
POSITIVE,19692,25.148303,92.176236,5,Jaintia Hills Block,NA,0.0,19692,NO
POSITIVE,19693,25.148747,92.175119,5,Jaintia Hills Block,NA,0.0,19693,NO
POSITIVE,19694,25.149603,92.367964,5,Jaintia Hills Block,NA,0.0,19694,NO
POSITIVE,19695,25.14965,92.214519,5,Jaintia Hills Block,NA,0.0,19695,NO
POSITIVE,19696,25.150286,92.213508,5,Jaintia Hills Block,NA,0.0,19696,NO
POSITIVE,19697,25.151189,92.191308,5,Jaintia Hills Block,NA,0.0,19697,NO
