Experiment,Ratio,Feature_Set,Model,Threshold,ROC_AUC,PR_AUC,F1_Score,Balanced_Acc,Brier_Score,Precision,Recall,Metadata_File
Exp A (1:1 Baseline),1:1,Full 16-Features,Random_Forest,0.4568727148308782,0.981,0.9887,0.9459,0.934,0.0708,0.9574,0.9347,expA_random_forest_metadata.json
Exp A (1:1 Baseline),1:1,Full 16-Features,XGBoost,0.07418272644281387,0.9859,0.9919,0.9285,0.884,0.052,0.8803,0.9822,expA_xgboost_metadata.json
Exp B (1:2 Ratio),1:2,Full 16-Features,Random_Forest,0.48244434484386156,0.9838,0.9852,0.9212,0.9243,0.0666,0.9613,0.8843,expB_random_forest_metadata.json
Exp B (1:2 Ratio),1:2,Full 16-Features,XGBoost,0.4010993540287018,0.9864,0.989,0.9466,0.948,0.0466,0.9748,0.9199,expB_xgboost_metadata.json
Exp C (1:3 Ratio),1:3,Full 16-Features,Random_Forest,0.3396442429815883,0.9849,0.9823,0.9267,0.9342,0.0641,0.9159,0.9377,expC_random_forest_metadata.json
Exp C (1:3 Ratio),1:3,Full 16-Features,XGBoost,0.2486930638551712,0.9882,0.9884,0.9433,0.9486,0.0405,0.9489,0.9377,expC_xgboost_metadata.json
Sensitivity No Roads,1:1,No Roads (15-Feat),Random_Forest,0.48243677530949136,0.9729,0.9853,0.9268,0.9153,0.0782,0.953,0.9021,exp_sensitivity_no_roads_random_forest_metadata.json
Sensitivity No Roads,1:1,No Roads (15-Feat),XGBoost,0.35438135266304016,0.9754,0.9874,0.9403,0.9245,0.0563,0.9459,0.9347,exp_sensitivity_no_roads_xgboost_metadata.json
