Operating_Profile,Threshold,Year,Total_Observations,Positive_Events,Background_Obs,TP,FP,TN,FN,Recall_POD,Precision_PPV,False_Alarm_Ratio_FAR,Total_Warnings
Cost_Optimal_Disaster_Priority (c=5),0.18,2026,21,1,20,1,7,13,0,1.0,0.125,0.875,8
Balanced_Harmonic_F1 (Max F1 Score),0.38,2007,59,26,33,15,4,29,11,0.5769,0.7895,0.2105,19
Balanced_Harmonic_F1 (Max F1 Score),0.38,2008,37,3,34,1,0,34,2,0.3333,1.0,0.0,1
Balanced_Harmonic_F1 (Max F1 Score),0.38,2009,40,7,33,5,1,32,2,0.7143,0.8333,0.1667,6
Balanced_Harmonic_F1 (Max F1 Score),0.38,2010,46,11,35,10,2,33,1,0.9091,0.8333,0.1667,12
Balanced_Harmonic_F1 (Max F1 Score),0.38,2011,31,1,30,0,0,30,1,0.0,NA,NA,0
Balanced_Harmonic_F1 (Max F1 Score),0.38,2012,42,12,30,10,3,27,2,0.8333,0.7692,0.2308,13
Balanced_Harmonic_F1 (Max F1 Score),0.38,2013,40,1,39,0,4,35,1,0.0,0.0,1.0,4
Balanced_Harmonic_F1 (Max F1 Score),0.38,2014,39,5,34,3,6,28,2,0.6,0.3333,0.6667,9
Balanced_Harmonic_F1 (Max F1 Score),0.38,2017,37,1,36,0,4,32,1,0.0,0.0,1.0,4
Balanced_Harmonic_F1 (Max F1 Score),0.38,2018,35,1,34,0,0,34,1,0.0,NA,NA,0
Balanced_Harmonic_F1 (Max F1 Score),0.38,2019,48,7,41,5,0,41,2,0.7143,1.0,0.0,5
Balanced_Harmonic_F1 (Max F1 Score),0.38,2020,39,11,28,9,1,27,2,0.8182,0.9,0.1,10
Balanced_Harmonic_F1 (Max F1 Score),0.38,2022,45,14,31,9,2,29,5,0.6429,0.8182,0.1818,11
Balanced_Harmonic_F1 (Max F1 Score),0.38,2023,43,3,40,1,0,40,2,0.3333,1.0,0.0,1
Balanced_Harmonic_F1 (Max F1 Score),0.38,2024,75,45,30,35,0,30,10,0.7778,1.0,0.0,35
Balanced_Harmonic_F1 (Max F1 Score),0.38,2025,67,37,30,30,4,26,7,0.8108,0.8824,0.1176,34
Balanced_Harmonic_F1 (Max F1 Score),0.38,2026,21,1,20,1,0,20,0,1.0,1.0,0.0,1
